S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
92,NADEP,810.90,15.90,2.00,810.90,810.90,810.00,400.00,795.00
93,NBL,203.00,0.00,0.00,207.00,207.00,203.00,880.00,203.00
94,NESDO,"2,000.00",14.00,0.70,"2,000.00","2,000.00","2,000.00",200.00,"1,986.00"
95,NFS,533.80,14.30,2.75,515.00,535.00,515.00,610.00,519.50
96,NGPL,308.00,6.20,2.05,307.80,308.00,305.00,600.00,301.80
97,NHDL,464.00,0.00,0.00,464.00,464.00,464.00,100.00,464.00
98,NHPC,148.00,2.00,1.37,146.00,148.00,146.00,600.00,146.00
99,NICA,367.00,6.90,1.92,367.30,367.30,366.00,700.00,360.10
100,NICL,840.00,14.00,1.69,842.50,842.50,840.00,20.00,826.00
101,NICLBSL,676.00,0.00,0.00,689.50,689.50,676.00,"2,000.00",676.00
102,NIFRA,199.90,3.40,1.73,196.00,199.90,196.00,10.00,196.50
103,NIL,805.80,15.80,2.00,805.80,805.80,805.80,0.00,790.00
104,NIMB,154.30,-2.70,-1.72,153.90,156.90,153.90,102.00,157.00
105,NLG,770.00,10.00,1.32,770.00,770.00,770.00,0.00,760.00
106,NLIC,597.00,10.10,1.72,598.50,598.50,596.90,108.00,586.90
107,NLICL,560.80,10.90,1.98,560.80,560.80,560.80,0.00,549.90
108,NMB,183.00,3.40,1.89,183.10,183.10,183.00,789.00,179.60
109,NMBMF,690.00,13.00,1.92,690.00,690.00,690.00,0.00,677.00
110,NRIC,674.80,13.22,2.00,674.80,674.80,674.00,306.00,661.58
111,NRN,505.90,9.90,2.00,505.90,505.90,505.90,0.00,496.00
112,NTC,843.00,13.00,1.57,846.60,846.60,843.00,150.00,830.00
113,NUBL,689.50,13.50,2.00,689.50,689.50,689.50,0.00,676.00
114,PCBL,198.00,3.10,1.59,198.70,198.70,195.10,"1,510.00",194.90
115,PFL,684.00,36.70,5.67,650.00,684.00,650.00,"5,110.00",647.30
116,PHCL,287.30,0.00,0.00,293.00,293.00,287.30,10.00,287.30
117,PMLI,503.30,9.80,1.99,503.30,503.30,503.30,0.00,493.50
118,PPL,500.00,-40.00,-7.41,530.10,530.10,500.00,"1,081.00",540.00
119,PROFL,343.60,6.70,1.99,343.60,343.60,343.60,0.00,336.90
120,PRVU,140.50,1.50,1.08,141.70,141.70,140.50,110.00,139.00
121,RBCL,"13,536.40",265.40,2.00,"13,536.40","13,536.40","13,536.40",10.00,"13,271.00"
122,RFPL,364.50,-1.50,-0.41,364.50,364.50,364.50,20.00,366.00
123,RHGCL,377.00,-6.90,-1.80,377.00,377.00,377.00,900.00,383.90
124,RHPL,271.20,5.30,1.99,271.20,271.20,271.20,0.00,265.90
125,RIDI,164.00,2.60,1.61,164.00,164.00,161.50,620.00,161.40
126,RLFL,390.00,3.00,0.78,390.00,390.00,390.00,0.00,387.00
127,RNLI,439.00,10.10,2.35,437.40,439.00,430.00,"3,402.00",428.90
128,RSDC,710.00,-2.00,-0.28,712.00,712.00,710.00,200.00,712.00
129,RURU,576.20,11.20,1.98,567.00,576.20,567.00,300.00,565.00
130,SADBL,318.00,0.00,0.00,324.30,324.30,318.00,980.00,318.00
131,SAHAS,519.10,10.10,1.98,519.10,519.10,519.10,0.00,509.00
132,SANIMA,246.80,4.80,1.98,246.80,246.80,246.80,0.00,242.00
133,SAPDBL,329.40,6.40,1.98,329.40,329.40,329.40,0.00,323.00
134,SARBTM,820.00,10.00,1.23,826.20,826.20,810.00,165.00,810.00
135,SBI,284.00,5.00,1.79,284.50,284.50,284.00,55.00,279.00
136,SBL,232.00,4.50,1.98,232.00,232.00,232.00,22.00,227.50
137,SCB,558.80,10.90,1.99,558.80,558.80,558.80,0.00,547.90
138,SDLBSL,987.90,-20.10,-1.99,987.90,987.90,987.90,50.00,"1,008.00"
139,SFCL,345.00,6.00,1.77,345.70,345.70,344.00,240.00,339.00
140,SGIC,539.50,10.50,1.98,539.50,539.50,539.50,0.00,529.00
141,SHEL,153.00,0.00,0.00,155.80,155.80,153.00,475.00,153.00
142,SHINE,398.80,7.80,1.99,398.80,398.80,398.80,0.00,391.00
143,SHIVM,505.00,7.50,1.51,507.40,507.40,505.00,975.00,497.50
144,SHLB,"1,780.60",34.90,2.00,"1,780.60","1,816.00","1,780.60",135.00,"1,745.70"
145,SHPC,329.00,0.20,0.06,335.30,335.30,329.00,10.00,328.80
146,SICL,703.80,13.80,2.00,703.80,703.80,703.80,0.00,690.00
147,SIFC,423.80,8.30,2.00,423.80,423.80,423.80,0.00,415.50
148,SIKLES,520.00,2.10,0.41,525.00,525.00,520.00,200.00,517.90
149,SINDU,385.00,0.40,0.10,392.20,392.20,385.00,100.00,384.60
150,SJCL,275.20,5.30,1.96,275.20,275.20,275.20,0.00,269.90
151,SJLIC,405.00,-0.90,-0.22,405.00,405.00,405.00,37.00,405.90
152,SKBBL,846.60,16.60,2.00,846.60,846.60,846.60,0.00,830.00
153,SLBBL,800.00,6.00,0.76,809.00,809.00,800.00,20.00,794.00
154,SMATA,922.20,-18.80,-2.00,925.00,925.00,922.20,20.00,941.00
155,SMH,710.00,15.00,2.16,708.90,710.00,708.90,100.00,695.00
156,SMHL,444.00,8.00,1.83,444.00,444.00,444.00,10.00,436.00
157,SMJC,365.00,2.00,0.55,365.00,365.00,365.00,0.00,363.00
158,SNLI,458.00,2.00,0.44,458.00,458.00,458.00,0.00,456.00
159,SONA,454.80,8.60,1.93,450.00,454.90,448.00,"1,090.00",446.20
160,SPIL,775.20,-15.80,-2.00,775.20,775.20,775.20,0.00,791.00
161,SRLI,435.00,0.00,0.00,443.70,443.70,435.00,100.00,435.00
162,SSHL,166.20,3.20,1.96,166.20,166.20,166.20,10.00,163.00
163,SWBBL,834.00,0.00,0.00,834.00,834.00,834.00,50.00,834.00
164,SWMF,861.90,16.90,2.00,861.90,861.90,846.00,290.00,845.00
165,TAMOR,384.50,7.50,1.99,384.50,384.50,384.50,0.00,377.00
166,TRH,726.00,-0.20,-0.03,726.00,726.00,726.00,142.00,726.20
167,TVCL,468.10,9.10,1.98,468.10,468.10,468.10,0.00,459.00
168,UAIL,583.00,8.00,1.39,586.50,586.50,583.00,100.00,575.00
169,UHEWA,392.00,-8.00,-2.00,392.00,392.00,392.00,500.00,400.00
170,ULBSL,"1,952.00",-37.80,-1.90,"1,952.00","1,952.00","1,952.00",20.00,"1,989.80"
171,UMHL,241.80,4.70,1.98,241.80,241.80,241.80,0.00,237.10
172,UMRH,362.00,5.90,1.66,363.20,363.20,362.00,100.00,356.10
173,UNHPL,223.00,3.80,1.73,223.00,223.00,223.00,0.00,219.20
174,UNLB,"2,107.00",-1.00,-0.05,"2,145.00","2,150.00","2,107.00",70.00,"2,108.00"
175,UPPER,164.00,0.00,0.00,167.20,167.20,164.00,"1,050.00",164.00
176,USHEC,371.00,-6.90,-1.83,371.00,371.00,371.00,20.00,377.90
177,USLB,"2,356.30",39.30,1.70,"2,363.30","2,363.30","2,356.30",200.00,"2,317.00"
178,VLBS,920.00,11.00,1.21,920.00,920.00,920.00,100.00,909.00
179,VLUCL,472.00,8.00,1.72,472.00,472.00,472.00,42.00,464.00
180,WNLB,"1,470.00",17.00,1.17,"1,482.00","1,482.00","1,470.00",20.00,"1,453.00"
